Time [s],Channel 0
0.000000000,0
0.250906572,1
0.280935234,0
2.251466900,1
2.281495562,0
4.252027124,1
4.282055764,0
6.252587202,1
6.282615842,0
8.253147056,1
8.283175696,0
10.253706748,1
10.283735392,0
10.737418240,0
