Time [s],Channel 0
0.000000000,0
1.206992474,1
1.257015756,0
3.207553060,1
3.257576334,0
5.208113430,1
5.258136680,0
7.208673592,1
7.258696810,0
9.209233570,1
9.259256816,0
10.401873920,0
