Time [s],Channel 0
0.000000000,0
0.688153982,1
0.728195168,0
2.688714408,1
2.728755664,0
4.689274692,1
4.729315894,0
6.689834784,1
6.729875978,0
8.690394690,1
8.730435952,0
10.690954476,1
10.730995664,0
11.005853696,0
