,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,0,0,0,0
15,1.5,0,0,0,0
16,1.6,0,0,0,0
17,1.7,0,0,0,0
18,1.8,0,0,0,0
19,1.9,0,0,0,0
20,2,0,0,0,0
21,2.1,0,0,0,0
22,2.2,0,0,0,0
23,2.3,0,0,0,0
24,2.4,0,0,0,0
25,2.5,0,0,0,0
26,2.6,0.5,0,0.727072537,0
27,2.7,0.5,0,0.790022552,0
28,2.8,0.5,0,0.884447515,0
29,2.9,0.5,0,0.975725055,0.588582516
30,3,0.5,0,1.070150018,1.142542481
31,3.1,0.5,0.042495728,1.048117518,1.36916256
32,3.2,0.5,0.175491333,1.060707569,1.174017549
33,3.3,0.5,0.222991943,1.022937536,1.076444983
34,3.4,0.5,0.289489746,1.022937536,1.082740068
35,3.5,0.5,0.365493774,0.959987521,0.903332531
36,3.6,0.5,0.356002808,1.01664257,0.862415016
37,3.7,0.5,0.412994385,1.082740068,0.934807539
38,3.8,0.5,0.470001221,0.893890023,0.824645042
39,3.9,0.5,0.460494995,1.101625085,0.739662528
40,4,0.5,0.441497803,1.139394999,0.76484251
41,4.1,0.5,0.441497803,1.063855052,0.692450047
42,4.2,0.5,0.49848938,0.94739753,0.843529999
43,4.3,0.5,0.488998413,1.007200003,0.749105036
44,4.4,0.5,0.45098877,1.123657584,0.852972507
45,4.5,0.5,0.49848938,0.953692555,0.777432501
46,4.6,0.5,0.460494995,1.022937536,0.812055051
47,4.7,0.5,0.49848938,1.010347486,0.887595057
48,4.8,0.5,0.507995605,0.808907509,0.934807539
49,4.9,0.5,0.526992798,0.859267533,0.985167503
50,5,0.5,0.526992798,1.063855052,0.893890023
51,5.1,0.5,0.574493408,0.906480014,0.91277504
52,5.2,0.5,0.602996826,0.790022552,0.830940008
53,5.3,0.5,0.574493408,0.934807539,0.849825025
54,5.4,0.5,0.650497437,0.761695027,0.919070005
55,5.5,0.5,0.593490601,0.805760026,0.723924994
56,5.6,0.5,0.688491821,0.695597529,0.705040038
57,5.7,0.5,0.612503052,0.777432501,0.594877541
58,5.8,0.5,0.565002441,0.988315046,0.692450047
59,5.9,0.5,0.526992798,0.915922523,0.711335003
60,6,0.5,0.574493408,0.76484251,0.660975039
61,6.1,0.5,0.488998413,0.906480014,0.613762498
62,6.2,0.5,0.565002441,0.695597529,0.632647514
63,6.3,0.5,0.565002441,0.701892495,0.579140007
64,6.4,0.5,0.507995605,0.695597529,0.604320049
65,6.5,0.5,0.555496216,0.928512514,0.698745012
66,6.6,0.5,0.565002441,0.695597529,0.601172507
67,6.7,0.5,0.488998413,0.875005007,0.783727527
68,6.8,0.5,0.488998413,0.922217548,0.893890023
69,6.9,0.5,0.45098877,0.919070005,0.849825025
70,7,0.5,0.49848938,0.878152549,0.723924994
71,7.1,0.5,0.517501831,0.89074254,0.796317518
72,7.2,0.5,0.517501831,0.808907509,0.840382516
73,7.3,0.5,0.49848938,0.871857524,0.745957553
74,7.4,0.5,0.565002441,0.796317518,0.808907509
75,7.5,0.5,0.574493408,0.695597529,0.76484251
76,7.6,0.5,0.555496216,0.799465001,0.761695027
77,7.7,0.5,0.602996826,0.695597529,0.63894254
78,7.8,0.5,0.574493408,0.887595057,0.692450047
79,7.9,0.5,0.526992798,0.824645042,0.607467532
80,8,0.5,0.555496216,0.755400002,0.698745012
81,8.1,0.5,0.488998413,0.862415016,0.670417547
82,8.2,0.5,0.526992798,0.695597529,0.63894254
83,8.3,0.5,0.49848938,0.723924994,0.569697499
84,8.4,0.5,0.54598999,0.695597529,0.645237505
85,8.5,0.5,0.488998413,0.8214975,0.613762498
86,8.6,0.5,0.507995605,0.78687501,0.541370034
87,8.7,0.5,0.488998413,0.777432501,0.645237505
88,8.8,0.5,0.45098877,0.727072537,0.774285018
89,8.9,0.5,0.403503418,1.079592586,0.849825025
90,9,0.5,0.45098877,0.909627557,0.8214975
91,9.1,0.5,0.441497803,1.057560086,0.752252519
92,9.2,0.5,0.479492188,0.878152549,0.881300032
93,9.3,0.5,0.565002441,0.695597529,0.733367503
94,9.4,0.5,0.526992798,0.878152549,0.752252519
95,9.5,0.5,0.555496216,0.76484251,0.749105036
96,9.6,0.5,0.526992798,0.695597529,0.790022552
97,9.7,0.5,0.526992798,0.812055051,0.78687501
98,9.8,0.5,0.583999634,0.720777512,0.808907509
99,9.9,0.5,0.565002441,0.752252519,0.67356503
100,10,0.5,0.488998413,0.959987521,0.733367503
101,10.1,0.5,0.517501831,0.846677542,0.76484251
102,10.2,0.5,0.470001221,0.89074254,0.632647514
103,10.3,0.5,0.470001221,0.827792525,0.67356503
104,10.4,0.5,0.507995605,0.695597529,0.632647514
105,10.5,0.5,0.49848938,0.742810011,0.739662528
106,10.6,0.5,0.526992798,0.695597529,0.61691004
107,10.7,0.5,0.488998413,0.837235034,0.67356503
108,10.8,0.5,0.488998413,0.742810011,0.670417547
109,10.9,0.5,0.412994385,0.98202002,0.692450047
110,11,0.5,0.460494995,0.91277504,0.711335003
111,11.1,0.5,0.412994385,0.978872538,0.8214975
112,11.2,0.5,0.479492188,0.859267533,0.78687501
113,11.3,0.5,0.488998413,0.802612543,0.692450047
114,11.4,0.5,0.479492188,0.862415016,0.790022552
115,11.5,0.5,0.574493408,0.727072537,0.749105036
116,11.6,0.5,0.565002441,0.695597529,0.771137536
117,11.7,0.5,0.565002441,0.695597529,0.739662528
118,11.8,0.5,0.565002441,0.695597529,0.771137536
119,11.9,0.5,0.517501831,0.849825025,0.774285018
120,12,0.5,0.54598999,0.780580044,0.733367503
121,12.1,0.5,0.49848938,0.758547544,0.660975039
122,12.2,0.5,0.507995605,0.799465001,0.579140007
123,12.3,0.5,0.565002441,0.758547544,0.607467532
124,12.4,0.5,0.54598999,0.723924994,0.620057523
125,12.5,0.5,0.555496216,0.695597529,0.620057523
126,12.6,0.5,0.460494995,0.900185049,0.657827497
127,12.7,0.5,0.49848938,0.903332531,0.736515045
128,12.8,0.5,0.460494995,0.824645042,0.783727527
129,12.9,0.5,0.479492188,0.830940008,0.692450047
130,13,0.5,0.507995605,0.711335003,0.824645042
131,13.1,0.5,0.431991577,1.013495088,0.808907509
132,13.2,0.5,0.479492188,0.843529999,0.657827497
133,13.3,0.5,0.479492188,0.956840038,0.761695027
134,13.4,0.5,0.507995605,0.818350017,0.815202534
135,13.5,0.5,0.565002441,0.758547544,0.758547544
136,13.6,0.5,0.555496216,0.739662528,0.758547544
137,13.7,0.5,0.488998413,0.997757554,0.705040038
138,13.8,0.5,0.526992798,0.73022002,0.705040038
139,13.9,0.5,0.526992798,0.758547544,0.761695027
140,14,0.5,0.54598999,0.783727527,0.642090023
141,14.1,0.5,0.574493408,0.941102505,0.695597529
142,14.2,0.5,0.49848938,0.900185049,0.679859996
143,14.3,0.5,0.488998413,0.827792525,0.667270005
144,14.4,0.5,0.460494995,0.774285018,0.58228749
145,14.5,0.5,0.470001221,0.717630029,0.679859996
146,14.6,0.5,0.507995605,0.934807539,0.686155021
147,14.7,0.5,0.45098877,0.922217548,0.723924994
148,14.8,0.5,0.479492188,0.705040038,0.648385048
149,14.9,0.5,0.488998413,0.749105036,0.843529999
150,15,0.5,0.49848938,0.812055051,0.774285018
151,15.1,0.5,0.526992798,0.767990053,0.711335003
152,15.2,0.5,0.507995605,0.771137536,0.705040038
153,15.3,0.5,0.49848938,0.859267533,0.815202534
154,15.4,0.5,0.54598999,0.761695027,0.711335003
155,15.5,0.5,0.526992798,0.871857524,0.705040038
156,15.6,0.5,0.526992798,0.767990053,0.802612543
157,15.7,0.5,0.488998413,0.695597529,0.8214975
158,15.8,0.5,0.470001221,0.695597529,0.73022002
159,15.9,0.5,0.565002441,0.73022002,0.670417547
160,16,0.5,0.479492188,0.887595057,0.620057523
161,16.1,0.5,0.574493408,0.695597529,0.645237505
162,16.2,0.5,0.517501831,0.720777512,0.667270005
163,16.3,0.5,0.488998413,1.079592586,0.733367503
164,16.4,0.5,0.507995605,0.736515045,0.849825025
165,16.5,0.5,0.517501831,0.727072537,0.777432501
166,16.6,0.5,0.488998413,0.915922523,0.736515045
167,16.7,0.5,0.54598999,0.695597529,0.796317518
168,16.8,0.5,0.517501831,0.742810011,0.796317518
169,16.9,0.5,0.479492188,0.758547544,0.739662528
170,17,0.5,0.583999634,0.695597529,0.840382516
171,17.1,0.5,0.479492188,0.988315046,0.799465001
172,17.2,0.5,0.488998413,0.799465001,0.799465001
173,17.3,0.5,0.517501831,0.871857524,0.711335003
174,17.4,0.5,0.488998413,0.799465001,0.852972507
175,17.5,0.5,0.526992798,0.881300032,0.840382516
176,17.6,0.5,0.526992798,0.865562499,0.745957553
177,17.7,0.5,0.555496216,0.695597529,0.733367503
178,17.8,0.5,0.555496216,0.959987521,0.695597529
179,17.9,0.5,0.517501831,0.843529999,0.720777512
180,18,0.5,0.555496216,0.695597529,0.739662528
181,18.1,0.5,0.479492188,0.777432501,0.749105036
182,18.2,0.5,0.565002441,0.937955022,0.790022552
183,18.3,0.5,0.574493408,0.698745012,0.705040038
184,18.4,0.5,0.488998413,0.830940008,0.840382516
185,18.5,0.5,0.517501831,0.771137536,0.579140007
186,18.6,0.5,0.526992798,0.727072537,0.679859996
187,18.7,0.5,0.555496216,0.695597529,0.541370034
188,18.8,0.5,0.507995605,0.755400002,0.720777512
189,18.9,0.5,0.49848938,0.701892495,0.692450047
190,19,0.5,0.49848938,0.900185049,0.76484251
191,19.1,0.5,0.526992798,0.695597529,0.761695027
192,19.2,0.5,0.507995605,0.808907509,0.705040038
193,19.3,0.5,0.526992798,0.695597529,0.761695027
194,19.4,0.5,0.45098877,0.934807539,0.745957553
195,19.5,0.5,0.54598999,0.695597529,0.758547544
196,19.6,0.5,0.470001221,0.837235034,0.752252519
197,19.7,0.5,0.555496216,0.695597529,0.799465001
198,19.8,0.5,0.555496216,0.695597529,0.629500031
199,19.9,0.5,0.507995605,0.884447515,0.777432501
200,20,0.5,0.565002441,0.695597529,0.698745012
201,20.1,0.5,0.517501831,0.893890023,0.749105036
202,20.2,0.5,0.460494995,0.928512514,0.758547544
203,20.3,0.5,0.517501831,0.777432501,0.790022552
204,20.4,0.5,0.488998413,0.805760026,0.723924994
205,20.5,0.5,0.555496216,0.742810011,0.683007538
206,20.6,0.5,0.412994385,1.067002535,0.808907509
207,20.7,0.5,0.488998413,0.85612005,0.799465001
208,20.8,0.5,0.574493408,0.903332531,0.790022552
209,20.9,0.5,0.526992798,0.705040038,0.745957553
210,21,0.5,0.479492188,0.893890023,0.745957553
211,21.1,0.5,0.565002441,0.695597529,0.654680014
