,time,flowrate_set,flowrate,pressure_set,pressure
1,0.1,0,0,0,0
2,0.2,0,0,0,0
3,0.3,0,0,0,0
4,0.4,0,0,0,0
5,0.5,0,0,0,0
6,0.6,0,0,0,0
7,0.7,0,0,0,0
8,0.8,0,0,0,0
9,0.9,0,0,0,0
10,1,0,0,0,0
11,1.1,0,0,0,0
12,1.2,0,0,0,0
13,1.3,0,0,0,0
14,1.4,0,0,0,0
15,1.5,0,0,0,0
16,1.6,0,0,0,0
17,1.7,0,0,0,0
18,1.8,0,0,0,0
19,1.9,0,0,0,0
20,2,0,0,0,0
21,2.1,0,0,0,0
22,2.2,0,0,0,0
23,2.3,0,0,0,0
24,2.4,4,0,0.944250047,0
25,2.5,4,0,1.687059999,0.0031475
26,2.6,4,0,2.678522587,2.07735014
27,2.7,4,0.01399231,3.20730257,3.106582642
28,2.8,4,0.222991943,3.518905163,3.512610197
29,2.9,4,0.602996826,3.780147552,3.81162262
30,3,4,0.849990845,4.318370342,4.145257473
31,3.1,4,1.182495117,4.551285267,4.305779934
32,3.2,4,1.438995361,4.790494919,4.740135193
33,3.3,4,1.714492798,4.991935253,4.919542789
34,3.4,4,2.037490845,5.108392715,4.862887859
35,3.5,4,2.350997925,5.086359978,5.28465271
36,3.6,4,2.493499756,5.262619972,5.28465271
37,3.7,4,2.835494995,5.246882439,5.152457714
38,3.8,4,3.044494629,5.196522713,5.265767574
39,3.9,4,3.196502686,5.464060307,5.268915176
40,4,4,3.338989258,5.268915176,5.347602844
41,4.1,4,3.405502319,5.514420033,5.294095039
42,4.2,4,3.642990112,5.256325245,5.281505108
43,4.3,4,3.776000977,5.098950386,5.196522713
44,4.4,4,3.737991333,5.470355034,5.22799778
45,4.5,4,3.908996582,5.14616251,5.026557446
46,4.6,4,3.899490356,5.139867783,5.124130249
47,4.7,4,4.022994995,5.102097511,5.083212852
48,4.8,4,4.136993408,4.815675259,5.076917648
49,4.9,4,4.070495605,5.073770046,4.99822998
50,5,4,4.165496826,4.818822861,4.922690392
51,5.1,4,4.194000244,4.850297451,4.825117588
52,5.2,4,4.222503662,4.787347794,4.818822861
53,5.3,4,4.194000244,4.777904987,4.74642992
54,5.4,4,4.10848999,4.922690392,4.460007668
55,5.5,4,4.165496826,4.74642992,4.431680202
56,5.6,4,4.089492798,4.903805256,4.51036787
57,5.7,4,4.070495605,4.869182587,4.82826519
58,5.8,4,4.080001831,4.910099983,4.825117588
59,5.9,4,4.165496826,4.63312006,4.740135193
60,6,4,4.136993408,4.680332661,4.765315056
61,6.1,4,4.165496826,4.670890331,4.796790123
62,6.2,4,4.203491211,4.585907459,4.485187531
63,6.3,4,4.155990601,4.639415264,4.535547733
64,6.4,4,4.146499634,4.601644993,4.441122532
65,6.5,4,4.06098938,4.664595127,4.400205135
66,6.6,4,4.080001831,4.5670228,4.513514996
67,6.7,4,3.994491577,4.661447525,4.570169926
68,6.8,4,4.003997803,4.702364922,4.592202663
69,6.9,4,4.041992188,4.847150326,4.629972458
70,7,4,3.946990967,4.532400131,4.721250057
71,7.1,4,4.003997803,4.655152798,4.557579994
72,7.2,4,4.041992188,4.71495533,4.51036787
73,7.3,4,4.070495605,4.762167454,4.529252529
74,7.4,4,4.01348877,4.724397659,4.5670228
75,7.5,4,4.01348877,4.670890331,4.538695335
76,7.6,4,4.003997803,4.790494919,4.500925064
77,7.7,4,4.098999023,4.529252529,4.526104927
78,7.8,4,4.01348877,4.759020329,4.541842461
79,7.9,4,4.080001831,4.541842461,4.268010139
80,8,4,4.003997803,4.71495533,4.472597599
81,8.1,4,3.994491577,4.623677731,4.500925064
82,8.2,4,4.022994995,4.544990063,4.40650034
83,8.3,4,3.994491577,4.589055061,4.425384998
84,8.4,4,3.994491577,4.604792595,4.541842461
85,8.5,4,4.032501221,4.475745201,4.563875198
86,8.6,4,3.908996582,4.821969986,4.516662598
87,8.7,4,3.966003418,4.661447525,4.626825333
88,8.8,4,3.975494385,4.670890331,4.617382526
89,8.9,4,3.975494385,4.658299923,4.491482735
90,9,4,4.070495605,4.869182587,4.538695335
91,9.1,4,3.975494385,4.834560394,4.475745201
92,9.2,4,3.946990967,4.781052589,4.475745201
93,9.3,4,4.070495605,4.466302872,4.516662598
94,9.4,4,3.98500061,4.705512524,4.491482735
95,9.5,4,4.003997803,4.639415264,4.529252529
96,9.6,4,4.041992188,4.535547733,4.466302872
97,9.7,4,4.032501221,4.460007668,4.447417736
98,9.8,4,4.003997803,4.585907459,4.557579994
99,9.9,4,3.966003418,4.472597599,4.478892803
100,10,4,4.003997803,4.645709991,4.46315527
101,10.1,4,3.9375,4.840855122,4.475745201
102,10.2,4,3.994491577,4.611087799,4.535547733
103,10.3,4,3.975494385,4.645709991,4.475745201
104,10.4,4,3.946990967,4.724397659,4.579612732
105,10.5,4,3.946990967,4.74642992,4.488335133
106,10.6,4,3.994491577,4.642562866,4.595350266
107,10.7,4,4.003997803,4.759020329,4.544990063
108,10.8,4,4.003997803,4.529252529,4.422237873
109,10.9,4,3.98500061,4.573317528,4.541842461
110,11,4,3.994491577,4.670890331,4.5670228
111,11.1,4,4.041992188,4.541842461,4.570169926
112,11.2,4,4.003997803,4.513514996,4.513514996
113,11.3,4,4.01348877,4.585907459,4.538695335
114,11.4,4,3.98500061,4.626825333,4.5670228
115,11.5,4,3.975494385,4.623677731,4.526104927
116,11.6,4,4.003997803,4.636267662,4.544990063
117,11.7,4,4.022994995,4.844002724,4.535547733
118,11.8,4,4.022994995,4.692922592,4.51036787
119,11.9,4,4.032501221,4.784200191,4.472597599
120,12,4,4.01348877,4.692922592,4.607940197
121,12.1,4,3.98500061,4.500925064,4.46315527
122,12.2,4,4.032501221,4.554432869,4.551285267
123,12.3,4,4.041992188,4.491482735,4.422237873
124,12.4,4,4.070495605,4.554432869,4.422237873
125,12.5,4,4.070495605,4.541842461,4.419090271
126,12.6,4,4.01348877,4.592202663,4.450565338
127,12.7,4,4.003997803,4.774757862,4.478892803
128,12.8,4,3.98500061,4.557579994,4.557579994
129,12.9,4,3.98500061,4.626825333,4.500925064
130,13,4,4.032501221,4.466302872,4.460007668
131,13.1,4,4.003997803,4.629972458,4.522957802
132,13.2,4,4.01348877,4.626825333,4.441122532
133,13.3,4,3.975494385,4.664595127,4.43797493
134,13.4,4,4.01348877,4.724397659,4.551285267
135,13.5,4,3.966003418,4.648857594,4.460007668
136,13.6,4,3.98500061,4.598497868,4.453712463
137,13.7,4,3.88999939,4.888067722,4.538695335
138,13.8,4,3.899490356,4.906952858,4.466302872
139,13.9,4,3.956497192,4.708660126,4.504072666
140,14,4,4.003997803,4.636267662,4.488335133
141,14.1,4,4.022994995,4.63312006,4.500925064
142,14.2,4,4.01348877,4.718102455,4.488335133
143,14.3,4,4.041992188,4.63312006,4.504072666
144,14.4,4,4.051498413,4.74642992,4.504072666
145,14.5,4,4.032501221,4.551285267,4.43797493
146,14.6,4,4.01348877,4.598497868,4.46315527
147,14.7,4,3.880493164,4.938427448,4.529252529
148,14.8,4,3.98500061,4.554432869,4.497777462
149,14.9,4,3.975494385,4.63312006,4.497777462
150,15,4,3.994491577,4.598497868,4.466302872
151,15.1,4,3.994491577,4.63312006,4.472597599
152,15.2,4,3.98500061,4.614234924,4.488335133
153,15.3,4,4.01348877,4.730692863,4.541842461
154,15.4,4,4.022994995,4.522957802,4.535547733
155,15.5,4,4.003997803,4.604792595,4.522957802
156,15.6,4,3.956497192,4.699217796,4.551285267
157,15.7,4,4.01348877,4.601644993,4.595350266
158,15.8,4,3.98500061,4.727545261,4.513514996
159,15.9,4,3.899490356,4.529252529,4.541842461
160,16,4,3.98500061,4.752725124,4.541842461
161,16.1,4,4.003997803,4.636267662,4.466302872
162,16.2,4,3.975494385,4.661447525,4.504072666
163,16.3,4,4.06098938,4.46315527,4.601644993
164,16.4,4,4.022994995,4.623677731,4.522957802
165,16.5,4,4.022994995,4.585907459,4.400205135
166,16.6,4,3.98500061,4.71495533,4.422237873
167,16.7,4,3.966003418,4.702364922,4.513514996
168,16.8,4,4.003997803,4.573317528,4.472597599
169,16.9,4,4.032501221,4.579612732,4.460007668
170,17,4,4.080001831,4.419090271,4.488335133
171,17.1,4,4.022994995,4.582760334,4.453712463
172,17.2,4,3.966003418,4.696070194,4.554432869
173,17.3,4,3.975494385,4.705512524,4.450565338
174,17.4,4,3.956497192,4.40650034,4.431680202
175,17.5,4,4.022994995,4.611087799,4.491482735
176,17.6,4,4.041992188,4.4285326,4.472597599
177,17.7,4,3.994491577,4.585907459,4.491482735
178,17.8,4,4.003997803,4.57646513,4.488335133
179,17.9,4,4.01348877,4.5670228,4.43797493
180,18,4,3.98500061,4.642562866,4.526104927
181,18.1,4,4.003997803,4.787347794,4.513514996
182,18.2,4,4.022994995,4.548137665,4.488335133
183,18.3,4,3.98500061,4.636267662,4.453712463
184,18.4,4,3.975494385,4.803085327,4.538695335
185,18.5,4,3.975494385,4.674037457,4.529252529
186,18.6,4,3.994491577,4.623677731,4.645709991
187,18.7,4,3.994491577,4.658299923,4.617382526
188,18.8,4,4.032501221,4.526104927,4.579612732
189,18.9,4,4.022994995,4.626825333,4.526104927
190,19,4,4.070495605,4.466302872,4.491482735
191,19.1,4,4.01348877,4.68977499,4.460007668
192,19.2,4,4.01348877,4.607940197,4.441122532
193,19.3,4,4.06098938,4.478892803,4.368730068
194,19.4,4,4.022994995,4.743282795,4.51036787
195,19.5,4,3.956497192,4.834560394,4.485187531
196,19.6,4,3.975494385,4.670890331,4.488335133
197,19.7,4,3.9375,4.740135193,4.522957802
198,19.8,4,4.01348877,4.494630337,4.529252529
199,19.9,4,4.022994995,4.532400131,4.500925064
200,20,4,4.003997803,4.551285267,4.563875198
201,20.1,4,3.966003418,4.733839989,4.500925064
202,20.2,4,3.88999939,4.938427448,4.522957802
203,20.3,4,3.994491577,4.664595127,4.488335133
204,20.4,4,4.032501221,4.529252529,4.412795067
205,20.5,4,3.966003418,4.686627865,4.500925064
206,20.6,4,3.98500061,4.617382526,4.497777462
207,20.7,4,4.032501221,4.535547733,4.51036787
208,20.8,4,4.022994995,4.541842461,4.522957802
209,20.9,4,3.994491577,4.551285267,4.516662598
210,21,4,4.01348877,4.535547733,4.400205135
211,21.1,4,4.01348877,4.63312006,4.485187531
212,21.2,4,4.01348877,4.554432869,4.522957802
213,21.3,4,3.946990967,4.777904987,4.601644993
214,21.4,4,3.975494385,4.611087799,4.491482735
215,21.5,4,3.956497192,4.538695335,4.535547733
216,21.6,4,3.956497192,4.491482735,4.522957802
217,21.7,4,4.022994995,4.507220268,4.579612732
218,21.8,4,3.966003418,4.680332661,4.526104927
219,21.9,4,3.966003418,4.711807728,4.648857594
220,22,4,4.003997803,4.740135193,4.497777462
221,22.1,4,4.032501221,4.548137665,4.526104927
222,22.2,4,4.06098938,4.611087799,4.51036787
223,22.3,4,4.022994995,4.655152798,4.447417736
224,22.4,4,3.994491577,4.677185059,4.412795067
